"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,,
"January 1976 to date, seasonally adjusted",,,,,,,,,,
,,,,,,,,,,
FIPS Code,State and area,Period,,Civilian non-institutional population,Civilian labor force,,,,,
55,Wisconsin,1976,2,"3,248,000","2,128,026",65.5,"2,005,096",61.7,"122,930",5.8
56,Wyoming,1976,2,"271,000","176,014",64.9,"168,813",62.3,"7,201",4.1
1,Alabama,1976,3,"2,615,000","1,484,241",56.8,"1,386,793",53,"97,448",6.6
2,Alaska,1976,3,"236,000","160,124",67.8,"148,935",63.1,"11,189",7
4,Arizona,1976,3,"1,631,000","963,556",59.1,"865,905",53.1,"97,651",10.1
5,Arkansas,1976,3,"1,539,000","888,557",57.7,"823,855",53.5,"64,702",7.3
6,California,1976,3,"15,694,000","9,768,531",62.2,"8,875,700",56.6,"892,831",9.1
37,Los Angeles County,1976,3,"5,292,000","3,381,679",63.9,"3,083,346",58.3,"298,333",8.8
8,Colorado,1976,3,"1,841,000","1,229,907",66.8,"1,159,916",63,"69,991",5.7
9,Connecticut,1976,3,"2,253,000","1,442,585",64,"1,301,919",57.8,"140,666",9.8
10,Delaware,1976,3,"418,000","261,306",62.5,"240,523",57.5,"20,783",8
11,District of Columbia,1976,3,"519,000","334,769",64.5,"305,939",58.9,"28,830",8.6
12,Florida,1976,3,"6,452,000","3,583,894",55.5,"3,238,803",50.2,"345,091",9.6
13,Georgia,1976,3,"3,534,000","2,244,320",63.5,"2,056,476",58.2,"187,844",8.4
15,Hawaii,1976,3,"586,000","407,576",69.6,"367,608",62.7,"39,968",9.8
16,Idaho,1976,3,"583,000","365,320",62.7,"344,962",59.2,"20,358",5.6
17,Illinois,1976,3,"8,146,000","5,123,914",62.9,"4,787,596",58.8,"336,318",6.6
18,Indiana,1976,3,"3,797,000","2,424,005",63.8,"2,265,615",59.7,"158,390",6.5
19,Iowa,1976,3,"2,072,000","1,329,559",64.2,"1,272,124",61.4,"57,435",4.3
20,Kansas,1976,3,"1,640,000","1,064,641",64.9,"1,020,044",62.2,"44,597",4.2
21,Kentucky,1976,3,"2,470,000","1,486,259",60.2,"1,402,586",56.8,"83,673",5.6
22,Louisiana,1976,3,"2,685,000","1,516,489",56.5,"1,420,882",52.9,"95,607",6.3
23,Maine,1976,3,"767,000","474,440",61.9,"433,462",56.5,"40,978",8.6
24,Maryland,1976,3,"2,962,000","1,898,022",64.1,"1,776,482",60,"121,540",6.4
25,Massachusetts,1976,3,"4,201,000","2,715,115",64.6,"2,430,783",57.9,"284,332",10.5
26,Michigan,1976,3,"6,430,000","3,953,694",61.5,"3,562,811",55.4,"390,883",9.9
27,Minnesota,1976,3,"2,797,000","1,828,605",65.4,"1,720,108",61.5,"108,497",5.9
28,Mississippi,1976,3,"1,647,000","963,510",58.5,"900,093",54.7,"63,417",6.6
29,Missouri,1976,3,"3,473,000","2,093,314",60.3,"1,969,025",56.7,"124,289",5.9
30,Montana,1976,3,"533,000","332,560",62.4,"313,352",58.8,"19,208",5.8
31,Nebraska,1976,3,"1,097,000","710,627",64.8,"687,236",62.6,"23,391",3.3
32,Nevada,1976,3,"456,000","321,400",70.5,"291,820",64,"29,580",9.2
33,New Hampshire,1976,3,"596,000","390,816",65.6,"365,391",61.3,"25,425",6.5
34,New Jersey,1976,3,"5,367,000","3,294,615",61.4,"2,955,302",55.1,"339,313",10.3
35,New Mexico,1976,3,"798,000","481,308",60.3,"439,624",55.1,"41,684",8.7
36,New York,1976,3,"13,207,000","7,657,019",58,"6,874,360",52.1,"782,659",10.2
51000,New York city,1976,3,"5,690,000","3,064,867",53.9,"2,722,931",47.9,"341,936",11.2
37,North Carolina,1976,3,"3,912,000","2,591,051",66.2,"2,424,774",62,"166,277",6.4
38,North Dakota,1976,3,"444,000","276,633",62.3,"267,177",60.2,"9,456",3.4
39,Ohio,1976,3,"7,711,000","4,755,734",61.7,"4,369,756",56.7,"385,978",8.1
40,Oklahoma,1976,3,"2,007,000","1,185,640",59.1,"1,116,631",55.6,"69,009",5.8
41,Oregon,1976,3,"1,724,000","1,076,843",62.5,"975,675",56.6,"101,168",9.4
42,Pennsylvania,1976,3,"8,786,000","5,123,224",58.3,"4,708,719",53.6,"414,505",8.1
44,Rhode Island,1976,3,"693,000","441,054",63.6,"406,950",58.7,"34,104",7.7
45,South Carolina,1976,3,"1,992,000","1,295,432",65,"1,200,705",60.3,"94,727",7.3
46,South Dakota,1976,3,"478,000","307,864",64.4,"297,968",62.3,"9,896",3.2
47,Tennessee,1976,3,"3,091,000","1,832,485",59.3,"1,722,558",55.7,"109,927",6
48,Texas,1976,3,"8,870,000","5,623,418",63.4,"5,293,477",59.7,"329,941",5.9
49,Utah,1976,3,"828,000","517,186",62.5,"486,955",58.8,"30,231",5.8
50,Vermont,1976,3,"341,000","215,624",63.2,"196,979",57.8,"18,645",8.6
51,Virginia,1976,3,"3,551,000","2,329,408",65.6,"2,187,833",61.6,"141,575",6.1
53,Washington,1976,3,"2,611,000","1,581,050",60.6,"1,447,484",55.4,"133,566",8.4
54,West Virginia,1976,3,"1,358,000","710,795",52.3,"657,702",48.4,"53,093",7.5
55,Wisconsin,1976,3,"3,252,000","2,127,839",65.4,"2,005,801",61.7,"122,038",5.7
56,Wyoming,1976,3,"272,000","176,105",64.7,"168,932",62.1,"7,173",4.1
1,Alabama,1976,4,"2,620,000","1,487,233",56.8,"1,390,787",53.1,"96,446",6.5
2,Alaska,1976,4,"237,000","161,033",67.9,"149,867",63.2,"11,166",6.9
4,Arizona,1976,4,"1,636,000","966,567",59.1,"870,141",53.2,"96,426",10
5,Arkansas,1976,4,"1,541,000","888,945",57.7,"825,015",53.5,"63,930",7.2
6,California,1976,4,"15,731,000","9,789,023",62.2,"8,902,662",56.6,"886,361",9.1
37,Los Angeles County,1976,4,"5,302,000","3,385,126",63.8,"3,089,190",58.3,"295,936",8.7
8,Colorado,1976,4,"1,846,000","1,229,301",66.6,"1,160,052",62.8,"69,249",5.6
9,Connecticut,1976,4,"2,255,000","1,446,319",64.1,"1,307,272",58,"139,047",9.6
10,Delaware,1976,4,"419,000","261,570",62.4,"240,379",57.4,"21,191",8.1
11,District of Columbia,1976,4,"518,000","334,217",64.5,"305,824",59,"28,393",8.5
12,Florida,1976,4,"6,468,000","3,586,526",55.5,"3,246,473",50.2,"340,053",9.5
13,Georgia,1976,4,"3,540,000","2,249,492",63.5,"2,063,590",58.3,"185,902",8.3
15,Hawaii,1976,4,"588,000","408,192",69.4,"368,776",62.7,"39,416",9.7
16,Idaho,1976,4,"585,000","366,582",62.7,"346,124",59.2,"20,458",5.6
17,Illinois,1976,4,"8,155,000","5,131,695",62.9,"4,795,335",58.8,"336,360",6.6
18,Indiana,1976,4,"3,801,000","2,426,376",63.8,"2,273,481",59.8,"152,895",6.3
19,Iowa,1976,4,"2,075,000","1,330,950",64.1,"1,274,556",61.4,"56,394",4.2
20,Kansas,1976,4,"1,642,000","1,067,139",65,"1,022,562",62.3,"44,577",4.2
21,Kentucky,1976,4,"2,475,000","1,488,051",60.1,"1,404,930",56.8,"83,121",5.6
22,Louisiana,1976,4,"2,692,000","1,519,054",56.4,"1,422,019",52.8,"97,035",6.4
23,Maine,1976,4,"769,000","475,164",61.8,"434,471",56.5,"40,693",8.6
24,Maryland,1976,4,"2,966,000","1,900,112",64.1,"1,778,204",60,"121,908",6.4
25,Massachusetts,1976,4,"4,204,000","2,715,481",64.6,"2,436,049",57.9,"279,432",10.3
26,Michigan,1976,4,"6,436,000","3,963,423",61.6,"3,576,236",55.6,"387,187",9.8
27,Minnesota,1976,4,"2,802,000","1,832,231",65.4,"1,726,077",61.6,"106,154",5.8
28,Mississippi,1976,4,"1,650,000","964,902",58.5,"903,082",54.7,"61,820",6.4
29,Missouri,1976,4,"3,477,000","2,099,444",60.4,"1,973,947",56.8,"125,497",6
30,Montana,1976,4,"534,000","332,503",62.3,"313,343",58.7,"19,160",5.8
31,Nebraska,1976,4,"1,098,000","711,432",64.8,"688,636",62.7,"22,796",3.2
32,Nevada,1976,4,"458,000","322,625",70.4,"293,430",64.1,"29,195",9
33,New Hampshire,1976,4,"598,000","392,772",65.7,"367,257",61.4,"25,515",6.5
34,New Jersey,1976,4,"5,372,000","3,301,383",61.5,"2,961,197",55.1,"340,186",10.3
35,New Mexico,1976,4,"801,000","482,739",60.3,"441,037",55.1,"41,702",8.6
36,New York,1976,4,"13,213,000","7,664,202",58,"6,884,805",52.1,"779,397",10.2
51000,New York city,1976,4,"5,689,000","3,067,313",53.9,"2,726,299",47.9,"341,014",11.1
37,North Carolina,1976,4,"3,919,000","2,595,746",66.2,"2,432,742",62.1,"163,004",6.3
38,North Dakota,1976,4,"444,000","277,360",62.5,"267,713",60.3,"9,647",3.5
39,Ohio,1976,4,"7,716,000","4,755,492",61.6,"4,375,662",56.7,"379,830",8
40,Oklahoma,1976,4,"2,011,000","1,186,430",59,"1,118,154",55.6,"68,276",5.8
41,Oregon,1976,4,"1,728,000","1,078,204",62.4,"978,506",56.6,"99,698",9.2
42,Pennsylvania,1976,4,"8,792,000","5,126,833",58.3,"4,710,603",53.6,"416,230",8.1
44,Rhode Island,1976,4,"693,000","441,240",63.7,"407,314",58.8,"33,926",7.7
45,South Carolina,1976,4,"1,996,000","1,295,324",64.9,"1,202,589",60.2,"92,735",7.2
46,South Dakota,1976,4,"479,000","308,191",64.3,"298,513",62.3,"9,678",3.1
47,Tennessee,1976,4,"3,097,000","1,835,764",59.3,"1,726,382",55.7,"109,382",6
48,Texas,1976,4,"8,896,000","5,646,313",63.5,"5,312,877",59.7,"333,436",5.9
49,Utah,1976,4,"830,000","519,054",62.5,"489,107",58.9,"29,947",5.8
50,Vermont,1976,4,"341,000","216,413",63.5,"197,785",58,"18,628",8.6
51,Virginia,1976,4,"3,559,000","2,330,733",65.5,"2,191,295",61.6,"139,438",6
53,Washington,1976,4,"2,617,000","1,585,515",60.6,"1,451,387",55.5,"134,128",8.5
54,West Virginia,1976,4,"1,360,000","711,428",52.3,"658,257",48.4,"53,171",7.5
55,Wisconsin,1976,4,"3,256,000","2,130,436",65.4,"2,011,006",61.8,"119,430",5.6
56,Wyoming,1976,4,"273,000","177,119",64.9,"170,037",62.3,"7,082",4
1,Alabama,1976,5,"2,626,000","1,491,392",56.8,"1,395,320",53.1,"96,072",6.4
2,Alaska,1976,5,"239,000","162,338",67.9,"151,056",63.2,"11,282",6.9
4,Arizona,1976,5,"1,642,000","971,080",59.1,"875,687",53.3,"95,393",9.8
5,Arkansas,1976,5,"1,542,000","889,913",57.7,"827,062",53.6,"62,851",7.1
6,California,1976,5,"15,768,000","9,821,255",62.3,"8,938,559",56.7,"882,696",9
37,Los Angeles County,1976,5,"5,311,000","3,389,808",63.8,"3,095,552",58.3,"294,256",8.7
8,Colorado,1976,5,"1,850,000","1,229,470",66.5,"1,160,471",62.7,"68,999",5.6
9,Connecticut,1976,5,"2,257,000","1,451,616",64.3,"1,314,537",58.2,"137,079",9.4
10,Delaware,1976,5,"420,000","262,016",62.4,"240,214",57.2,"21,802",8.3
11,District of Columbia,1976,5,"518,000","333,396",64.4,"305,434",59,"27,962",8.4
12,Florida,1976,5,"6,483,000","3,591,097",55.4,"3,256,638",50.2,"334,459",9.3
13,Georgia,1976,5,"3,547,000","2,256,660",63.6,"2,073,036",58.4,"183,624",8.1
15,Hawaii,1976,5,"590,000","408,933",69.3,"370,291",62.8,"38,642",9.4
16,Idaho,1976,5,"587,000","368,506",62.8,"347,899",59.3,"20,607",5.6
17,Illinois,1976,5,"8,164,000","5,141,790",63,"4,804,374",58.8,"337,416",6.6
18,Indiana,1976,5,"3,806,000","2,431,160",63.9,"2,284,630",60,"146,530",6
19,Iowa,1976,5,"2,078,000","1,332,994",64.1,"1,277,930",61.5,"55,064",4.1
20,Kansas,1976,5,"1,644,000","1,070,872",65.1,"1,026,320",62.4,"44,552",4.2
21,Kentucky,1976,5,"2,480,000","1,490,599",60.1,"1,408,137",56.8,"82,462",5.5
22,Louisiana,1976,5,"2,699,000","1,523,344",56.4,"1,424,086",52.8,"99,258",6.5
23,Maine,1976,5,"771,000","476,012",61.7,"435,612",56.5,"40,400",8.5
24,Maryland,1976,5,"2,971,000","1,904,080",64.1,"1,781,196",60,"122,884",6.5
25,Massachusetts,1976,5,"4,207,000","2,718,111",64.6,"2,444,886",58.1,"273,225",10.1
26,Michigan,1976,5,"6,442,000","3,975,642",61.7,"3,594,264",55.8,"381,378",9.6
27,Minnesota,1976,5,"2,806,000","1,837,908",65.5,"1,733,886",61.8,"104,022",5.7
28,Mississippi,1976,5,"1,653,000","966,754",58.5,"906,282",54.8,"60,472",6.3
29,Missouri,1976,5,"3,481,000","2,108,332",60.6,"1,981,037",56.9,"127,295",6
30,Montana,1976,5,"535,000","332,602",62.2,"313,383",58.6,"19,219",5.8
31,Nebraska,1976,5,"1,100,000","712,943",64.8,"690,704",62.8,"22,239",3.1
32,Nevada,1976,5,"460,000","324,425",70.5,"295,681",64.3,"28,744",8.9
33,New Hampshire,1976,5,"599,000","395,493",66,"369,866",61.7,"25,627",6.5
34,New Jersey,1976,5,"5,376,000","3,309,870",61.6,"2,968,185",55.2,"341,685",10.3
35,New Mexico,1976,5,"804,000","484,676",60.3,"443,026",55.1,"41,650",8.6
36,New York,1976,5,"13,219,000","7,675,792",58.1,"6,896,958",52.2,"778,834",10.1
51000,New York city,1976,5,"5,687,000","3,071,973",54,"2,730,681",48,"341,292",11.1
37,North Carolina,1976,5,"3,926,000","2,601,868",66.3,"2,442,874",62.2,"158,994",6.1
38,North Dakota,1976,5,"445,000","278,481",62.6,"268,524",60.3,"9,957",3.6
39,Ohio,1976,5,"7,721,000","4,754,562",61.6,"4,382,938",56.8,"371,624",7.8
40,Oklahoma,1976,5,"2,015,000","1,187,895",59,"1,120,284",55.6,"67,611",5.7
41,Oregon,1976,5,"1,732,000","1,081,658",62.5,"983,065",56.8,"98,593",9.1
42,Pennsylvania,1976,5,"8,798,000","5,130,966",58.3,"4,715,133",53.6,"415,833",8.1
44,Rhode Island,1976,5,"694,000","441,388",63.6,"407,576",58.7,"33,812",7.7
45,South Carolina,1976,5,"2,001,000","1,295,580",64.7,"1,204,846",60.2,"90,734",7
46,South Dakota,1976,5,"480,000","308,798",64.3,"299,264",62.3,"9,534",3.1
47,Tennessee,1976,5,"3,103,000","1,841,933",59.4,"1,732,735",55.8,"109,198",5.9
48,Texas,1976,5,"8,922,000","5,676,963",63.6,"5,339,976",59.9,"336,987",5.9
49,Utah,1976,5,"833,000","521,698",62.6,"492,102",59.1,"29,596",5.7
50,Vermont,1976,5,"342,000","217,411",63.6,"198,845",58.1,"18,566",8.5
51,Virginia,1976,5,"3,567,000","2,333,352",65.4,"2,195,739",61.6,"137,613",5.9
53,Washington,1976,5,"2,623,000","1,593,274",60.7,"1,457,626",55.6,"135,648",8.5
54,West Virginia,1976,5,"1,363,000","711,509",52.2,"658,512",48.3,"52,997",7.4
55,Wisconsin,1976,5,"3,260,000","2,134,954",65.5,"2,018,302",61.9,"116,652",5.5
56,Wyoming,1976,5,"274,000","178,560",65.2,"171,583",62.6,"6,977",3.9
1,Alabama,1976,6,"2,631,000","1,496,160",56.9,"1,399,430",53.2,"96,730",6.5
2,Alaska,1976,6,"240,000","163,908",68.3,"152,324",63.5,"11,584",7.1
4,Arizona,1976,6,"1,647,000","976,461",59.3,"881,602",53.5,"94,859",9.7
5,Arkansas,1976,6,"1,544,000","891,434",57.7,"829,833",53.7,"61,601",6.9
6,California,1976,6,"15,804,000","9,861,887",62.4,"8,977,255",56.8,"884,632",9
37,Los Angeles County,1976,6,"5,321,000","3,394,977",63.8,"3,100,801",58.3,"294,176",8.7
8,Colorado,1976,6,"1,855,000","1,231,223",66.4,"1,161,704",62.6,"69,519",5.6
9,Connecticut,1976,6,"2,259,000","1,457,006",64.5,"1,322,011",58.5,"134,995",9.3
10,Delaware,1976,6,"420,000","262,640",62.5,"240,155",57.2,"22,485",8.6
11,District of Columbia,1976,6,"517,000","332,440",64.3,"304,715",58.9,"27,725",8.3
12,Florida,1976,6,"6,499,000","3,597,210",55.4,"3,267,451",50.3,"329,759",9.2
13,Georgia,1976,6,"3,553,000","2,265,027",63.7,"2,083,290",58.6,"181,737",8
15,Hawaii,1976,6,"591,000","409,662",69.3,"371,836",62.9,"37,826",9.2
16,Idaho,1976,6,"588,000","370,833",63.1,"350,070",59.5,"20,763",5.6
17,Illinois,1976,6,"8,174,000","5,151,113",63,"4,812,220",58.9,"338,893",6.6
18,Indiana,1976,6,"3,810,000","2,438,240",64,"2,296,745",60.3,"141,495",5.8
19,Iowa,1976,6,"2,081,000","1,335,252",64.2,"1,281,456",61.6,"53,796",4
20,Kansas,1976,6,"1,647,000","1,075,261",65.3,"1,030,858",62.6,"44,403",4.1
21,Kentucky,1976,6,"2,485,000","1,493,134",60.1,"1,411,443",56.8,"81,691",5.5
22,Louisiana,1976,6,"2,705,000","1,528,892",56.5,"1,427,096",52.8,"101,796",6.7
23,Maine,1976,6,"772,000","476,725",61.8,"436,500",56.5,"40,225",8.4
24,Maryland,1976,6,"2,975,000","1,909,635",64.2,"1,785,402",60,"124,233",6.5
25,Massachusetts,1976,6,"4,210,000","2,723,768",64.7,"2,456,971",58.4,"266,797",9.8
26,Michigan,1976,6,"6,448,000","3,987,683",61.8,"3,613,034",56,"374,649",9.4
27,Minnesota,1976,6,"2,811,000","1,845,509",65.7,"1,742,473",62,"103,036",5.6
28,Mississippi,1976,6,"1,656,000","968,797",58.5,"908,939",54.9,"59,858",6.2
29,Missouri,1976,6,"3,485,000","2,118,778",60.8,"1,989,320",57.1,"129,458",6.1
